,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES,FACE_VALUE,NSHARE_HOLDER
130,FCEL,First Capital Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.006794278687088664,42400650.0,141335500.0,10.0,310.0
131,FCEPL,Frieslandcampina Engro Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1,12,0.4904798902263935,76659608.0,766596075.0,10.0,
132,FCIBL,First Credit and Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.003952967335851469,26000000.0,65000000.0,10.0,1030.0
133,FCSC,First Capital Securities Corporation,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.005773966158248187,174135562.0,316610115.0,10.0,3919.0
134,FDPL,First Dawood Properties Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1,6,0.0029552672237052363,133551021.0,148390023.0,10.0,3573.0
135,FECM,First Elite Capital Modaraba,819,MODARABAS,500,1,6,0.0005589810951492512,7938000.0,11340000.0,10.0,4272.0
136,FECTC,Fecto Cement Limited,804,CEMENT,500,1,6,0.032762938013852154,12540000.0,50160000.0,10.0,1856.0
137,FEM,First Equity Modaraba,819,MODARABAS,500,1,9,0.0011604120462637736,36708000.0,52440000.0,10.0,
138,FEROZ,Ferozsons Laboratories Limited,823,PHARMACEUTICALS,1,1,6,0.12043976961273266,17387621.0,43469051.0,10.0,4196.0
139,FFBL,Fauji Fertilizer Bin Qasim Limited,809,FERTILIZER,1,1,12,0.7630064116332276,451938500.0,1291252857.0,10.0,
140,FFC,Fauji Fertilizer Company Limited,809,FERTILIZER,1,1,12,3.2277400350312107,699731036.0,1272238147.0,10.0,
141,FFL,Fauji Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1,12,0.261892368523015,503992628.0,2519963139.0,10.0,
142,FFLM,First Fidelity Leasing Modaraba,819,MODARABAS,500,1,6,0.0004555026812206105,17168973.0,26413804.0,10.0,
143,FIBLM,First IBL Modaraba,819,MODARABAS,500,1,6,0.0005543778206206616,16265625.0,21687500.0,10.0,
144,FIL,Fateh Industries Limited,816,LEATHER & TANNERIES,1,0,6,0.002044051519984348,48581.0,2000000.0,10.0,123.0
145,FIMM,First Imrooz Modaraba,819,MODARABAS,1,1,6,0.004938824646520342,600000.0,3000000.0,10.0,219.0
146,FLYNG,Flying Cement Company Limited,804,CEMENT,500,1,6,0.15141522998428839,277920000.0,694800000.0,10.0,6381.0
147,FML,Feroze1888 Mills Limited,829,TEXTILE COMPOSITE,500,1,6,0.21126520562268192,39940903.0,399409026.0,10.0,1084.0
148,FPJM,First Punjab Modaraba,819,MODARABAS,500,1,12,0.0009708619021013309,13608000.0,34020000.0,10.0,
149,FRCL,Frontier Ceramics Limited,811,GLASS & CERAMICS,500,1,6,0.004814660480197106,1893691.0,37873821.0,10.0,861.0
150,FRSM,Faran Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.008987453807923413,6251739.0,25007151.0,10.0,
151,FSWL,Fateh Sports Wear Limited,829,TEXTILE COMPOSITE,500,1,6,0.0017087684686624418,88570.0,2000000.0,10.0,132.0
152,FTMM,First Treet Manufacturing Modaraba,819,MODARABAS,500,1,6,0.0344527093980111,44179514.0,883590287.0,10.0,488.0
153,FTSM,First Tri-Star Modaraba,819,MODARABAS,500,1,6,0.0022301013078701143,8465242.0,21163104.0,10.0,2585.0
154,FZCM,Fazal Cloth Mills Limited,829,TEXTILE COMPOSITE,1,1,6,0.03319256425239627,3000000.0,30000000.0,10.0,1400.0
155,GADT,Gadoon Textile Mills Limited,830,TEXTILE SPINNING,1,1,6,0.045158416170938236,8408875.0,28029583.0,10.0,2065.0
156,GAL,Ghandhara Automobiles Limited,801,AUTOMOBILE ASSEMBLER,1,1,3,0.1088825667739673,22801000.0,57002500.0,10.0,6488.0
157,GAMON,Gammon Pakistan Limited,818,MISCELLANEOUS,500,1,6,0.012727557452110426,3648076.0,28266231.0,10.0,2315.0
158,GATI,Gatron (Industries) Limited,827,SYNTHETIC & RAYON,1,1,6,0.14518937319697453,10872896.0,108728960.0,10.0,1435.0
159,GATM,Gul Ahmed Textile Mills Limited,829,TEXTILE COMPOSITE,1,1,6,0.1342857754027468,185014865.0,740059458.0,10.0,7693.0
160,GCIL,Ghani Chemical Industries Limited,805,CHEMICAL,500,1,6,0.05599057205395853,125046993.0,500187971.0,10.0,6623.0
161,GEMPAPL,Pak Agro Packaging Limited(GEM),822,"PAPER, BOARD & PACKAGING",500,1,6,0.0012590282992288242,8000000.0,20000000.0,10.0,
162,GEMSPNL,Supernet Limited,828,TECHNOLOGY & COMMUNICATION,500,1,6,0.013480100113534286,24688891.0,135788901.0,10.0,123.0
163,GFIL,Ghazi Fabrics International Limited,829,TEXTILE COMPOSITE,500,1,6,0.002365738591769491,3263560.0,32635600.0,10.0,4632.0
164,GGGL,Ghani Global Glass Limited,811,GLASS & CERAMICS,500,1,6,0.012727631534022295,120000000.0,240000000.0,10.0,6227.0
165,GGL,Ghani Global Holdings Limited,805,CHEMICAL,1,1,6,0.03212797513389308,177059795.0,354119590.0,10.0,8854.0
166,GHGL,Ghani Glass Limited,811,GLASS & CERAMICS,500,1,6,0.21290581446744714,349900193.0,999714838.0,10.0,4787.0
167,GHNI,Ghandhara Industries Limited,801,AUTOMOBILE ASSEMBLER,1,1,6,0.13063225474348333,14913095.0,42608844.0,10.0,8166.0
168,GIL,Good Luck Industries Ltd.,810,FOOD & PERSONAL CARE PRODUCTS,1,0,6,0.002394900739369447,116.0,300000.0,10.0,79.0
169,GLAXO,GlaxoSmithKline Pakistan Limited,823,PHARMACEUTICALS,500,1,12,0.9087196120393366,63693456.0,318467278.0,10.0,
170,GLPL,Gillette Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1,6,0.03841806460653782,3187200.0,31872000.0,10.0,1003.0
171,GOC,GOC (Pak) Limited.,818,MISCELLANEOUS,500,1,6,0.003302874979124125,1102401.0,7348950.0,10.0,329.0
172,GRR,Globe Residency REIT,836,REAL ESTATE INVESTMENT TRUST,500,1,6,0.01479549013457388,42000000.0,140000000.0,10.0,1324.0
173,GRYL,Grays Leasing Limited,815,LEASING COMPANIES,500,1,6,0.0008038704928712523,2150000.0,21500000.0,10.0,415.0
174,GSPM,Gulshan Spinning Mills Limited,830,TEXTILE SPINNING,500,1,3,0.0007648400156872504,20632740.0,22225038.0,10.0,3523.0
175,GUSM,Gulistan Spinning Mills Limited,830,TEXTILE SPINNING,500,1,3,0.0010657875997499874,11712800.0,14641000.0,10.0,1755.0
176,GUTM,Gulistan Textile Mills Limited,830,TEXTILE SPINNING,500,1,3,0.002172839279721609,5695170.0,18983872.0,10.0,1075.0
177,GVGL,Ghani Value Glass Limited,811,GLASS & CERAMICS,500,1,6,0.04919758878818328,29376188.0,149942178.0,10.0,3159.0
178,GWLC,Gharibwal Cement Limited,804,CEMENT,500,1,6,0.12458409185098256,40027396.0,400273960.0,10.0,3299.0
179,HABSM,Habib Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1,9,0.07785602088194825,40500000.0,135000000.0,5.0,
180,HAEL,Hala Enterprises Limited,829,TEXTILE COMPOSITE,500,1,3,0.0016551133658293633,1599557.0,12996304.0,10.0,871.0
181,HAFL,Hafiz Limited,829,TEXTILE COMPOSITE,1,1,6,0.0025987259753027826,40448.0,1200000.0,10.0,1025.0
182,HALEON,Haleon Pakistan Limited,823,PHARMACEUTICALS,1,1,9,0.7591059767422248,15700898.0,117054508.0,10.0,
183,HASCOL,Hascol Petroleum Limited,821,OIL & GAS MARKETING COMPANIES,500,1,12,0.10284458866163289,599472408.0,999120680.0,10.0,
184,HATM,Hamid Textile Mills Limited,829,TEXTILE COMPOSITE,500,0,6,9.823054773796306e-05,5972220.0,13271600.0,10.0,296.0
185,HCAR,Honda Atlas Cars (Pakistan) Limited,801,AUTOMOBILE ASSEMBLER,1,1,3,0.2939063758179484,28560000.0,142800000.0,10.0,7871.0
186,HCL,Hallmark Company Limited,828,TECHNOLOGY & COMMUNICATION,1,1,6,0.0026963426361029906,50000.0,500000.0,10.0,578.0
187,HICL,Habib Insurance Company Limited,812,INSURANCE,500,1,12,0.006711084466337968,68131115.0,123874755.0,5.0,
188,HINO,Hinopak Motors Limited,801,AUTOMOBILE ASSEMBLER,1,1,3,0.06063009355731375,2548886.0,24801120.0,10.0,1659.0
