Symbol,Year End,Month
LCI,Jun,6
LEUL,Jun,6
LSLM,Jun,6
LOADS,Jun,6
LOTCHEM,Dec,12
LPGL,Jun,6
LPL,Dec,12
LSEPL,Mar,3
LSEVL,Mar,3
LUCK,Jun,6
MACFL,Jun,6
MACTER,Jun,6
MARI,Jun,6
MCB,Dec,12
MCBIM,Mar,3
MDTL,Sep,9
MEBL,Dec,12
MEHT,Jun,6
MERIT,Jun,6
META,Jun,6
MFFL,Jun,6
MFL,Jun,6
MIRKS,Sep,9
MLCF,Jun,6
MODAM,Jun,6
MQTM,Jun,6
MRNS,Sep,9
MSCL,Jun,6
MSOT,Jun,6
MTL,Jun,6
MUBT,Jun,6
MUGHAL,Jun,6
MUGHALSC,Jun,6
MWMP,Jun,6
NAGC,Jun,6
NATF,Jun,6
NATM,Jun,6
NBP,Dec,12
NCL,Jun,6
NCML,Jun,6
NCPL,Jun,6
NESTLE,Dec,12
NETSOL,Jun,6
NEXT,Jun,6
NICL,Jun,6
NML,Jun,6
NONS,Sep,9
NPL,Jun,6
NRL,Jun,6
NRSL,Jun,6
NSRM,Jun,6
OBOY,Jun,6
OCTOPUS,Sep,9
OGDC,Jun,6
OLPL,Jun,6
OLPM,Jun,6
OML,Jun,6
ORM,Jun,6
OTSU,Jun,6
PABC,Dec,12
PACE,Jun,6
PAEL,Dec,12
PAKD,Jun,6
PAKL,Jun,6
PAKOXY,Dec,12
PAKRI,Dec,12
PAKT,Dec,12
PASL,Jun,6
PASM,Mar,3
PCAL,Jun,6
PESC1,Mar,3
PGLC,Jun,6
PHDL,Jun,6
PICT,Dec,12
PIL,Dec,12
PIM,Jun,6
PINL,Dec,12
PIOC,Jun,6
PKGI,Dec,12
PKGP,Dec,12
PKGS,Dec,12
PMI,Jun,6
PMRS,Sep,9
PNSC,Jun,6
POL,Jun,6
POML,Jun,6
POWER,Jun,6
PPL,Jun,6
PPP,Jun,6
PPVC,Jun,6
PREMA,Jun,6
PRET,Jun,6
PRL,Jun,6
PRWM,Jun,6
PSEL,Jun,6
PSO,Jun,6
PSX,Jun,6
PSYL,Jun,6
PTC,Dec,12
PTL,Jun,6
QUET,Jun,6
QUICE,Jun,6
RCML,Jun,6
REDCO,Jun,6
REWM,Jun,6
RICL,Dec,12
RMPL,Dec,12
RPL,Jun,6
RUBY,Jun,6
RUPL,Jun,6
SAIF,Jun,6
SANE,Jun,6
SANSM,Sep,9
SAPT,Jun,6
SARC,Jun,6
SASML,Sep,9
SAZEW,Jun,6
SBL,Dec,12
SCBPL,Dec,12
SCL,Jun,6
SEARL,Jun,6
SEL,Jun,6
SEPL,Jun,6
SERT,Jun,6
SFL,Jun,6
SGABL,Mar,3
SGF,Dec,12
SGPL,Jun,6
SHCL,Jun,6
SHCM,Jun,6
SHDT,Jun,6
SHEL,Dec,12
SHEZ,Jun,6
SHFA,Jun,6
SHJS,Sep,9
SHNI,Dec,12
SHSML,Sep,9
SIBL,Dec,12
SIEM,Sep,9
SINDM,Jun,6
SITC,Jun,6
SKRS,Sep,9
SLCL,Jun,6
SLL,Sep,9
SLYT,Jun,6
SMCPL,Jun,6
SML,Sep,9
SNAI,Jun,6
SNBL,Dec,12
SNGP,Jun,6
SPEL,Jun,6
SPLC,Jun,6
SPWL,Dec,12
SRVI,Dec,12
SSGC,Jun,12
SSML,Jun,6
SSOM,Jun,6
STCL,Jun,6
STJT,Jun,6
STML,Jun,6
STPL,Jun,6
SUHJ,Jun,6
SURC,Jun,6
SUTM,Jun,6
SYM,Mar,3
SYS,Dec,12
SZTM,Jun,6
TATM,Jun,6
TCROP,Sep,9
TELE,Jun,6
TGL,Jun,6
THALL,Jun,6
THCCL,Jun,6
TICL,Sep,9
TOMCL,Jun,6
TOWL,Jun,6
TPL,Jun,6
TPLI,Dec,12
TPLP,Jun,6
TPLT,Jun,6
TREET,Jun,6
TRG,Jun,6
TRIPF,Dec,12
TRSM,Jun,6
TSBL,Jun,6
TSMF,Jun,6
TSML,Sep,9
TSPL,Jun,6
UBDL,Jun,6
UBL,Dec,12
UDPL,Jun,6
UNIC,Dec,12
UNITY,Jun,6
UPFL,Dec,12
UVIC,Dec,12
WAHN,Jun,6
WAVES,Dec,12
WTL,Dec,12
YOUW,Dec,12
ZAHID,Jun,6
ZHCM,Sep,9
ZIL,Dec,12
ZTL,Jun,6
JLICL,Dec,12
