Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
FECTC,Fecto Cement Limited,804,CEMENT,500,1
FEM,First Equity Modaraba,819,MODARABAS,500,1
FEROZ,Ferozsons Laboratories Limited,823,PHARMACEUTICALS,1,1
FFBL,Fauji Fertilizer Bin Qasim Limited,809,FERTILIZER,1,1
FFC,Fauji Fertilizer Company Limited,809,FERTILIZER,1,1
FFL,Fauji Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
FFLM,First Fidelity Leasing Modaraba,819,MODARABAS,500,1
FHAM,First Habib Modaraba,819,MODARABAS,500,1
FIBLM,First IBL Modaraba,819,MODARABAS,500,1
FIL,Fateh Industries Limited,816,LEATHER & TANNERIES,1,0
FIM,First Investec Modaraba,819,MODARABAS,500,0
FIMM,First Imrooz Modaraba,819,MODARABAS,1,1
FLYNG,Flying Cement Company Limited,804,CEMENT,500,1
FML,Feroze1888 Mills Limited,829,TEXTILE COMPOSITE,500,1
FNBM,First National Bank Modaraba,819,MODARABAS,500,1
FNEL,First National Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
FPJM,First Punjab Modaraba,819,MODARABAS,500,1
FPRM,First Paramount Modaraba,819,MODARABAS,500,1
FRCL,Frontier Ceramics Limited,811,GLASS & CERAMICS,500,1
FRSM,Faran Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
FSWL,Fateh Sports Wear Limited,829,TEXTILE COMPOSITE,500,1
FTHM,Fateh Textile Mills Limited,829,TEXTILE COMPOSITE,500,0
FTMM,First Treet Manufacturing Modaraba,819,MODARABAS,500,1
FTSM,First Tri-Star Modaraba,819,MODARABAS,500,1
FZCM,Fazal Cloth Mills Limited,829,TEXTILE COMPOSITE,1,1
GADT,Gadoon Textile Mills Limited,830,TEXTILE SPINNING,1,1
GAL,Ghandhara Automobiles Limited,801,AUTOMOBILE ASSEMBLER,1,1
GAMON,Gammon Pakistan Limited,818,MISCELLANEOUS,500,1
GATI,Gatron (Industries) Limited,827,SYNTHETIC & RAYON,1,1
GATM,Gul Ahmed Textile Mills Limited,829,TEXTILE COMPOSITE,1,1
GCIL,Ghani Chemical Industries Limited,805,CHEMICAL,500,1
GEMBLUEX,Blue-Ex Limited (GEM),833,TRANSPORT,500,1
GEMPAPL,Pak Agro Packaging Limited(GEM),822,"PAPER, BOARD & PACKAGING",500,1
GEMSPNL,Supernet Limited,828,TECHNOLOGY & COMMUNICATION,500,1
GFIL,Ghazi Fabrics International Limited,829,TEXTILE COMPOSITE,500,1
GGGL,Ghani Global Glass Limited,811,GLASS & CERAMICS,500,1
GGL,Ghani Global Holdings Limited,805,CHEMICAL,1,1
GHGL,Ghani Glass Limited,811,GLASS & CERAMICS,500,1
GHNI,Ghandhara Industries Limited,801,AUTOMOBILE ASSEMBLER,1,1
GIL,Good Luck Industries Ltd.,810,FOOD & PERSONAL CARE PRODUCTS,1,0
GLAXO,GlaxoSmithKline Pakistan Limited,823,PHARMACEUTICALS,500,1
GLOT,Globe Textile Mills Limited,830,TEXTILE SPINNING,500,0
GLPL,Gillette Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
GOC,GOC (Pak) Limited.,818,MISCELLANEOUS,500,1
GRR,Globe Residency REIT,836,REAL ESTATE INVESTMENT TRUST,500,1
GRYL,Grays Leasing Limited,815,LEASING COMPANIES,500,1
GSPM,Gulshan Spinning Mills Limited,830,TEXTILE SPINNING,500,1
GTYR,Ghandhara Tyre & Rubber Company Limited,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
GUSM,Gulistan Spinning Mills Limited,830,TEXTILE SPINNING,500,1
GUTM,Gulistan Textile Mills Limited,830,TEXTILE SPINNING,500,1
GVGL,Ghani Value Glass Limited,811,GLASS & CERAMICS,500,1
GWLC,Gharibwal Cement Limited,804,CEMENT,500,1
HABSM,Habib Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
HADC,Haydari Construction Company Limited,818,MISCELLANEOUS,500,1
HAEL,Hala Enterprises Limited,829,TEXTILE COMPOSITE,500,1
HAFL,Hafiz Limited,829,TEXTILE COMPOSITE,1,1
HAJT,Hajra Textile Mills Limited,830,TEXTILE SPINNING,500,1
HALEON,Haleon Pakistan Limited,823,PHARMACEUTICALS,1,1
HASCOL,Hascol Petroleum Limited,821,OIL & GAS MARKETING COMPANIES,500,1
HATM,Hamid Textile Mills Limited,829,TEXTILE COMPOSITE,500,0
HBL,Habib Bank Limited,807,COMMERCIAL BANKS,1,1
HBLTETF,HBL Total Treasury (ETF),837,EXCHANGE TRADED FUNDS,100,1
HCAR,Honda Atlas Cars (Pakistan) Limited,801,AUTOMOBILE ASSEMBLER,1,1
HCL,Hallmark Company Limited,828,TECHNOLOGY & COMMUNICATION,1,1
HGFA,HBL Growth Fund,806,CLOSE - END MUTUAL FUND,500,1
HICL,Habib Insurance Company Limited,812,INSURANCE,500,1
HIFA,HBL Investment Fund,806,CLOSE - END MUTUAL FUND,500,1
HINO,Hinopak Motors Limited,801,AUTOMOBILE ASSEMBLER,1,1
HINOON,Highnoon Laboratories Limited,823,PHARMACEUTICALS,1,1
HIRAT,Hira Textile Mills Limited,830,TEXTILE SPINNING,500,1
HKKT,Hakkim Textile Mills Limited,831,TEXTILE WEAVING,500,0
HMB,Habib Metropolitan Bank Limited,807,COMMERCIAL BANKS,500,1
HMIM,Haji Mohammad Ismail Mills Limited,830,TEXTILE SPINNING,500,1
HPL,Hoechst Pakistan Limited,823,PHARMACEUTICALS,1,1
HRPL,Habib Rice Product Limited.,826,SUGAR & ALLIED INDUSTRIES,500,1
HSPI,Huffaz Seamless Pipe Industries Limited,808,ENGINEERING,500,1
HTL,Hi-Tech Lubricants Limited,821,OIL & GAS MARKETING COMPANIES,500,1
HUBC,The Hub Power Company Limited,824,POWER GENERATION & DISTRIBUTION,1,1
HUMNL,Hum Network Limited,828,TECHNOLOGY & COMMUNICATION,500,1
HUSI,Husein Industries Limited,838,PROPERTY,500,1
HWQS,Haseeb Waqas Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
IBFL,Ibrahim Fibres Limited,827,SYNTHETIC & RAYON,1,1
IBLHL,IBL HealthCare Limited,823,PHARMACEUTICALS,500,1
ICCI,ICC Industries Limited,831,TEXTILE WEAVING,500,1
ICIBL,Invest Capital Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
ICL,Ittehad Chemicals Limted,805,CHEMICAL,500,1
IDRT,Idrees Textile Mills Limited,830,TEXTILE SPINNING,500,1
