,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES
112,CYAN,Cyan Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,12.0,0.01339653132995695,12311822,61558963
113,DAAG,Data Agro Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.0023471339687441595,800000,4000000
114,DADX,Dadex Eternit Limited,808.0,ENGINEERING,500.0,1.0,6.0,0.004763796821503913,538200,10764000
115,DAWH,Dawood Hercules Corporation Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,1.0,1.0,12.0,0.6351133448366495,336900981,481287116
116,DBCI,,,,,,,0.003942855029932284,29280889,98236644
117,DBSL,,,,,,,0.00021365328714186108,114000,4000000
118,DCL,Dewan Cement Limited,804.0,CEMENT,500.0,1.0,6.0,0.03413269433679114,121028336,484113343
119,DCR,,,,,,,0.3658276272553645,555925000,2223700000
120,DCTL,,,,,,,1.4179253010660425e-06,0,2322800
121,DEL,Dawood Equities Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.0019305100588175304,12375000,27500000
122,DFML,Dewan Farooque Motors Limited,801.0,AUTOMOBILE ASSEMBLER,1.0,1.0,6.0,0.041751804469687834,55494097,138735242
123,DFSM,Dewan Farooque Spinning Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.003095420368256216,34212754,97750726
124,DGKC,D.G. Khan Cement Company Limited,804.0,CEMENT,1.0,1.0,6.0,0.2985683863292648,219059559,438119097
125,DIIL,Diamond Industries Limited,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.0013460157089937247,1350000,9000000
126,DINT,Din Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.021934968304164342,7870012,52466750
127,DKTM,,,,,,,6.893457275505472e-05,1922152,9610759
128,DLL,Dawood Lawrencepur Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,1.0,1.0,12.0,0.09420299431205462,5929981,59299809
129,DMTM,,,,,,,0.00035198235797882115,1156103,11561028
