"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"BROKER PROPRIETARY TRADING","S0029","Textile Composite","REG","63,200","3,653,404","(55,735)","(2,996,743)","7,465","656,661","2,336"
"BROKER PROPRIETARY TRADING","S1111","All other Sectors","REG","14,685,494","437,254,517","(22,608,281)","(500,375,106)","(7,922,787)","(63,120,589)","(224,628)"
"","","","TOTAL","81,644,378","2,108,888,099","(90,315,046)","(2,217,655,386)","(8,670,668)","(108,767,282)","(387,069)"
"COMPANIES","S0005","Cement","FUT","12,500","553,060","(48,000)","(3,489,200)","(35,500)","(2,936,140)","(10,448)"
"COMPANIES","S0007","Fertilizer","FUT","10,000","298,000","(35,000)","(1,050,000)","(25,000)","(752,000)","(2,676)"
"COMPANIES","S0008","Food and Personal Care Products","FUT","16,500","172,985","0","0","16,500","172,985","615"
"COMPANIES","S0019","Oil and Gas Exploration Companies","FUT","78,000","9,676,330","(88,500)","(11,045,710)","(10,500)","(1,369,380)","(4,873)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","FUT","5,000","899,940","(5,000)","(897,750)","0","2,190","7"
"COMPANIES","S0023","Power Generation and Distribution","FUT","8,000","134,345","(4,000)","(23,410)","4,000","110,935","394"
"COMPANIES","S0026","Commercial Banks","FUT","10,500","195,085","(3,500)","(31,995)","7,000","163,090","580"
"COMPANIES","S0028","Technology and Communication","FUT","8,000","527,185","(6,500)","(318,310)","1,500","208,875","743"
"COMPANIES","S0029","Textile Composite","FUT","3,500","78,470","(500)","(4,150)","3,000","74,320","264"
"COMPANIES","S1111","All other Sectors","FUT","313,000","14,238,605","(316,000)","(13,689,020)","(3,000)","549,585","1,955"
"COMPANIES","S1111","All other Sectors","ODL","0","0","(306)","(22,849)","(306)","(22,849)","(81)"
"COMPANIES","S0028","Technology and Communication","OMKT","0","0","(5,000,000)","(7,150,000)","(5,000,000)","(7,150,000)","(25,444)"
"COMPANIES","S0005","Cement","REG","114,525","3,882,213","(69,590)","(3,325,750)","44,935","556,462","1,980"
"COMPANIES","S0007","Fertilizer","REG","137,260","10,344,846","(292,426)","(34,673,698)","(155,166)","(24,328,852)","(86,579)"
"COMPANIES","S0008","Food and Personal Care Products","REG","31,000","998,500","(321,600)","(3,344,354)","(290,600)","(2,345,854)","(8,348)"
"COMPANIES","S0019","Oil and Gas Exploration Companies","REG","67,950","8,678,175","(207,640)","(25,769,089)","(139,690)","(17,090,913)","(60,821)"
"COMPANIES","S0020","Oil and Gas Marketing Companies","REG","30,400","3,708,909","(234,282)","(9,587,752)","(203,882)","(5,878,843)","(20,921)"
